csv_line,id,type,score,chinese,requirement,status,chinese_vs_requirement,requirement_vs_code,code_refs,recommendation
2,ACACIA_BUTTON,block,1,金合欢木按钮,,consistent,中文显示“金合欢木按钮”与 ID（Material.ACACIA_BUTTON）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.ACACIA_BUTTON。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
3,ACACIA_DOOR,block,1,金合欢木门,,consistent,中文显示“金合欢木门”与 ID（Material.ACACIA_DOOR）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.ACACIA_DOOR。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
4,ACACIA_FENCE,block,1,金合欢木栅栏,,consistent,中文显示“金合欢木栅栏”与 ID（Material.ACACIA_FENCE）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.ACACIA_FENCE。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
5,ACACIA_FENCE_GATE,block,1,金合欢木栅栏门,,consistent,中文显示“金合欢木栅栏门”与 ID（Material.ACACIA_FENCE_GATE）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.ACACIA_FENCE_GATE。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
6,ACACIA_HANGING_SIGN,block,1,悬挂式金合欢木告示牌,,consistent,中文显示“悬挂式金合欢木告示牌”与 ID（Material.ACACIA_HANGING_SIGN）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.ACACIA_HANGING_SIGN。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
7,ACACIA_LEAVES,block,1,金合欢树叶,,consistent,中文显示“金合欢树叶”与 ID（Material.ACACIA_LEAVES）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.ACACIA_LEAVES。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
8,ACACIA_LOG,block,1,金合欢原木,,consistent,中文显示“金合欢原木”与 ID（Material.ACACIA_LOG）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.ACACIA_LOG。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
9,ACACIA_PLANKS,block,1,金合欢木板,,consistent,中文显示“金合欢木板”与 ID（Material.ACACIA_PLANKS）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.ACACIA_PLANKS。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
10,ACACIA_PRESSURE_PLATE,block,1,金合欢木压力板,,consistent,中文显示“金合欢木压力板”与 ID（Material.ACACIA_PRESSURE_PLATE）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.ACACIA_PRESSURE_PLATE。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
11,ACACIA_SAPLING,block,1,金合欢树苗,,consistent,中文显示“金合欢树苗”与 ID（Material.ACACIA_SAPLING）一致。作为 block 类型目标，requirement 为空符合系统设计规范（物品收集类任务由 Material ID 驱动）。,Game.runPer5Tick 每 5 tick 轮询 checkRedInventory / checkBlueInventory，检查在线队员背包与队伍共享箱是否持有 Material.ACACIA_SAPLING。该材质在 Paper 26.2 Material 枚举中存在，代码逻辑与静态结构一致。,"src/main/java/top/lqsnow/blockracing/managers/Game.java (checkRedInventory/checkBlueInventory), src/main/java/top/lqsnow/blockracing/managers/Block.java (loadTargets)",无
